timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14T00:00,0.2,84,-2.2,-3.4,0.0
2024-12-14T01:00,-0.1,86,-2.2,-3.6,0.0
2024-12-14T02:00,-0.2,86,-2.3,-4.0,0.0
2024-12-14T03:00,0.1,84,-2.3,-3.0,0.0
2024-12-14T04:00,-0.3,93,-1.3,-3.4,0.0
2024-12-14T05:00,-0.3,95,-1.0,-3.2,0.0
2024-12-14T06:00,-0.2,96,-0.8,-2.9,0.0
2024-12-14T07:00,-0.2,96,-0.8,-3.3,0.2
2024-12-14T08:00,0.1,94,-0.7,-3.1,0.0
2024-12-14T09:00,0.7,90,-0.7,-2.7,0.0
2024-12-14T10:00,1.3,87,-0.6,-1.8,0.0
2024-12-14T11:00,1.9,84,-0.5,-1.5,0.0
2024-12-14T12:00,2.5,81,-0.5,0.0,0.0
2024-12-14T13:00,2.8,80,-0.4,0.3,0.0
2024-12-14T14:00,2.8,80,-0.3,0.3,0.0
2024-12-14T15:00,2.6,82,-0.2,0.4,0.0
2024-12-14T16:00,2.0,86,-0.1,-0.5,0.0
2024-12-14T17:00,1.2,91,-0.1,-1.2,0.0
2024-12-14T18:00,1.0,92,-0.2,-1.5,0.0
2024-12-14T19:00,1.0,92,-0.1,-1.3,0.0
2024-12-14T20:00,0.8,94,-0.1,-1.5,0.0
2024-12-14T21:00,0.7,95,-0.0,-1.5,0.0
2024-12-14T22:00,0.6,97,0.2,-1.7,0.0
2024-12-14T23:00,0.0,99,-0.1,-2.5,0.0
2024-12-15T00:00,-1.5,100,-1.5,-4.2,0.0
2024-12-15T01:00,-1.9,100,-1.9,-4.7,0.0
2024-12-15T02:00,-2.3,100,-2.3,-5.0,0.0
2024-12-15T03:00,-1.0,95,-1.7,-3.7,0.0
2024-12-15T04:00,-1.2,97,-1.6,-4.1,0.0
2024-12-15T05:00,-1.5,95,-2.2,-4.5,0.0
2024-12-15T06:00,-2.3,100,-2.3,-5.3,0.0
2024-12-15T07:00,-1.7,99,-1.9,-4.8,0.0
2024-12-15T08:00,-0.8,96,-1.4,-3.5,0.0
2024-12-15T09:00,-0.7,96,-1.3,-3.3,0.0
2024-12-15T10:00,0.8,89,-0.9,-2.0,0.0
2024-12-15T11:00,3.0,79,-0.3,0.4,0.0
2024-12-15T12:00,4.3,78,0.8,1.8,0.0
2024-12-15T13:00,5.1,76,1.2,2.9,0.0
2024-12-15T14:00,4.5,82,1.6,2.1,0.0
2024-12-15T15:00,3.6,83,0.9,1.5,0.0
2024-12-15T16:00,3.0,86,0.9,0.9,0.0
2024-12-15T17:00,2.0,87,0.1,-0.4,0.0
2024-12-15T18:00,1.2,87,-0.8,-1.4,0.0
2024-12-15T19:00,0.9,84,-1.5,-1.8,0.0
2024-12-15T20:00,0.9,82,-1.9,-1.8,0.0
2024-12-15T21:00,0.6,81,-2.3,-2.1,0.0
2024-12-15T22:00,-0.5,92,-1.7,-3.3,0.0
2024-12-15T23:00,-1.1,97,-1.6,-3.9,0.0
